id,timestamp,coin,direction,sell_exchange,buy_exchange,premium_pct,sell_bid_usdt,buy_ask_usdt,krw_usd,usdt_usd,est_qty,est_profit_usdt
411,2026-03-29T22:45:50.442Z,ETH,fwd,bithumb,binance,2.7110029433916383,2006.613509003571,1953.65,1508.01337,1,0.51186241138382,27.11002943391643
410,2026-03-29T22:45:50.442Z,BTC,fwd,bithumb,bybit,2.7232233774339143,67033.8884329653,65256.8,1508.01337,1,0.015324073506515795,27.232233774339083
409,2026-03-29T22:45:50.442Z,BTC,fwd,bithumb,binance,2.7101124796124587,67033.8884329653,65265.13,1508.01337,1,0.015322117645364378,27.101124796124616
408,2026-03-29T22:45:49.443Z,XRP,fwd,bithumb,bybit,2.579635871378305,1.3348688015942458,1.3013,1508.01337,1,768.4623069238454,25.79635871378307
407,2026-03-29T22:45:49.443Z,XRP,fwd,bithumb,binance,2.5638725773527327,1.3348688015942458,1.3015,1508.01337,1,768.3442182097579,25.63872577352724
406,2026-03-29T22:45:49.443Z,ETH,fwd,bithumb,bybit,2.7062715102097012,2006.613509003571,1953.74,1508.01337,1,0.5118388321885204,27.06271510209696
405,2026-03-29T22:45:49.443Z,ETH,fwd,bithumb,binance,2.693656485919549,2006.613509003571,1953.98,1508.01337,1,0.5117759649535819,26.936564859195542
404,2026-03-29T22:45:49.443Z,BTC,fwd,bithumb,bybit,2.715668069684618,67033.8884329653,65261.6,1508.01337,1,0.015322946418720963,27.15668069684616
403,2026-03-29T22:45:49.442Z,BTC,fwd,bithumb,binance,2.703518947286865,67033.8884329653,65269.32,1508.01337,1,0.015321134033570443,27.035189472868634
402,2026-03-29T22:45:48.443Z,XRP,fwd,bithumb,bybit,2.6032898996345866,1.3348688015942458,1.301,1508.01337,1,768.6395080707149,26.032898996345796
401,2026-03-29T22:45:48.443Z,XRP,fwd,bithumb,binance,2.5954040115476085,1.3348688015942458,1.3011,1508.01337,1,768.5804319422028,25.954040115476054
400,2026-03-29T22:45:48.443Z,ETH,fwd,bithumb,bybit,2.720467117671155,2006.613509003571,1953.47,1508.01337,1,0.5119095762924437,27.204671176711646
399,2026-03-29T22:45:48.442Z,ETH,fwd,bithumb,binance,2.7110029433916383,2006.613509003571,1953.65,1508.01337,1,0.51186241138382,27.11002943391643
398,2026-03-29T22:45:48.442Z,BTC,fwd,bithumb,bybit,2.7270014481250104,67033.8884329653,65254.4,1508.01337,1,0.015324637112593173,27.270014481250186
397,2026-03-29T22:45:48.442Z,BTC,fwd,bithumb,binance,2.7211298162624242,67033.8884329653,65258.13,1508.01337,1,0.015323761192666723,27.21129816262428
396,2026-03-29T22:45:47.457Z,XRP,fwd,bithumb,bybit,2.619065313210789,1.3348688015942458,1.3008,1508.01337,1,768.7576875768758,26.190653132107826
395,2026-03-29T22:45:47.457Z,XRP,fwd,bithumb,binance,2.6111770000957657,1.3348688015942458,1.3009,1508.01337,1,768.6985932815743,26.111770000957698
394,2026-03-29T22:45:47.456Z,ETH,fwd,bithumb,bybit,2.754657828349316,2006.613509003571,1952.82,1508.01337,1,0.5120799664075543,27.5465782834931
393,2026-03-29T22:45:47.452Z,ETH,fwd,bithumb,binance,2.7451873529734216,2006.613509003571,1953,1508.01337,1,0.292,15.65514462904271
392,2026-03-29T22:45:47.442Z,BTC,fwd,bithumb,bybit,2.74873074889761,67033.8884329653,65240.6,1508.01337,1,0.015327878652250286,27.487307488976118
391,2026-03-29T22:45:47.442Z,BTC,fwd,bithumb,binance,2.7322754698434704,67033.8884329653,65251.05,1508.01337,1,0.015325423882067797,27.322754698434593
390,2026-03-29T22:45:46.443Z,XRP,fwd,bithumb,bybit,2.658525078385443,1.3348688015942458,1.3003,1508.01337,1,769.0532953933707,26.58525078385434
389,2026-03-29T22:45:46.443Z,XRP,fwd,bithumb,binance,2.6506306978042016,1.3348688015942458,1.3004,1508.01337,1,27.7,0.954785804160609
388,2026-03-29T22:45:46.443Z,ETH,fwd,bithumb,bybit,2.780973867171932,2006.613509003571,1952.32,1508.01337,1,0.5122111129323061,27.80973867171928
387,2026-03-29T22:45:46.442Z,ETH,fwd,bithumb,binance,2.7578150414577784,2006.613509003571,1952.76,1508.01337,1,0.512095700444499,27.57815041457779
386,2026-03-29T22:45:46.442Z,BTC,fwd,bithumb,bybit,2.789852614012678,67033.8884329653,65214.5,1508.01337,1,0.015334013141249263,27.89852614012672
385,2026-03-29T22:45:46.442Z,BTC,fwd,bithumb,binance,2.7770556180743533,67033.8884329653,65222.62,1508.01337,1,0.015332104107440025,27.770556180743597
384,2026-03-29T22:45:45.443Z,XRP,fwd,bithumb,bybit,2.619065313210789,1.3348688015942458,1.3008,1508.01337,1,768.7576875768758,26.190653132107826
383,2026-03-29T22:45:45.443Z,XRP,fwd,bithumb,binance,2.619065313210789,1.3348688015942458,1.3008,1508.01337,1,768.7576875768758,26.190653132107826
382,2026-03-29T22:45:45.443Z,ETH,fwd,bithumb,bybit,2.759393720768921,2006.613509003571,1952.73,1508.01337,1,0.512103567825557,27.593937207689184
381,2026-03-29T22:45:45.443Z,ETH,fwd,bithumb,binance,2.749396237611923,2006.613509003571,1952.92,1508.01337,1,0.5120537451610921,27.493962376119278
380,2026-03-29T22:45:45.443Z,BTC,fwd,bithumb,bybit,2.794739007236924,67033.8884329653,65211.4,1508.01337,1,0.015334742084972873,27.94739007236913
